iter	Passed	Remaining
985	16020	227
986	16036	211
987	16053	194
988	16070	178
989	16085	162
990	16101	146
991	16116	129
992	16132	113
993	16147	97
994	16163	81
995	16178	64
996	16193	48
997	16208	32
998	16223	16
999	16240	0
